Month,value
1934-8,121.0
1934-9,108.0
1934-10,86.0
1934-11,94.0
1934-12,119.0
1935-1,105.0
1935-2,116.0
1935-3,127.0
1935-4,96.0
1935-5,114.0
1935-6,109.0
1935-7,111.0
1935-8,114.0
1935-9,110.0
1935-10,123.0
1935-11,101.0
1935-12,73.0
1936-1,85.0
1936-2,87.0
1936-3,71.0
1936-4,96.0
1936-5,93.0
1936-6,113.0
1936-7,93.0
1936-8,93.0
1936-9,118.0
1936-10,121.0
1936-11,109.0
1936-12,98.0
1937-1,106.0
1937-2,103.0
1937-3,104.0
1937-4,102.0
1937-5,107.0
1937-6,92.0
1937-7,105.0
1937-8,105.0
1937-9,110.0
1937-10,104.0
1937-11,85.0
1937-12,100.0
1938-1,100.0
1938-2,100.0
1938-3,100.0
1938-4,100.0
1938-5,100.0
1938-6,100.0
1938-7,100.0
1938-8,100.0
1938-9,100.0
1938-10,100.0
1938-11,100.0
1938-12,100.0
1939-1,110.0
1939-2,104.0
1939-3,107.0
1939-4,98.0
1939-5,111.0
1939-6,116.0
1939-7,112.0
1939-8,114.0
1939-9,113.0
1939-10,110.0
1939-11,97.0
1939-12,109.0
1940-1,109.0
1940-2,106.0
1940-3,102.0
1940-4,118.0
1940-5,118.0
1940-6,118.0
1940-7,107.0
1940-8,93.0
1940-9,102.0
1940-10,121.0
1940-11,107.0
1940-12,126.0
1941-1,119.0
1941-2,105.0
1941-3,123.0
1941-4,118.0
1941-5,108.0
1941-6,120.0
1941-7,92.0
1941-8,101.0
1941-9,116.0
1941-10,118.0
1941-11,107.0
1941-12,120.0
1942-1,106.0
1942-2,88.0
1942-3,119.0
1942-4,106.0
1942-5,93.0
1942-6,104.0
1942-7,118.0
1942-8,107.0
1942-9,108.0
1942-10,102.0
1942-11,111.0
1942-12,98.0
1943-1,91.0
1943-2,111.0
1943-3,106.0
1943-4,96.0
1943-5,104.0
1943-6,103.0
1943-7,102.0
1943-8,121.0
1943-9,111.0
1943-10,118.0
1943-11,105.0
1943-12,121.0
1944-1,100.0
1944-2,100.0
1944-3,100.0
1944-4,100.0
1944-5,100.0
1944-6,100.0
1944-7,100.0
1944-8,100.0
1944-9,100.0
1944-10,100.0
1944-11,100.0
1944-12,100.0
1945-1,100.0
1945-2,100.0
1945-3,100.0
1945-4,100.0
1945-5,100.0
1945-6,100.0
1945-7,100.0
1945-8,100.0
1945-9,100.0
1945-10,100.0
1945-11,100.0
1945-12,100.0
1946-1,119.0
1946-2,133.0
1946-3,92.0
1946-4,117.0
1946-5,91.0
1946-6,115.0
1946-7,95.0
1946-8,103.0
1946-9,116.0
1946-10,114.0
1946-11,124.0
1946-12,95.0
1947-1,110.0
1947-2,98.0
1947-3,113.0
1947-4,118.0
1947-5,93.0
1947-6,93.0
1947-7,105.0
1947-8,110.0
1947-9,117.0
1947-10,91.0
1947-11,115.0
1947-12,97.0
1948-1,103.0
1948-2,112.0
1948-3,99.0
1948-4,119.0
1948-5,91.0
1948-6,108.0
1948-7,100.0
1948-8,112.0
1948-9,107.0
1948-10,102.0
1948-11,94.0
1948-12,121.0
1949-1,101.0
1949-2,121.0
1949-3,103.0
1949-4,104.0
1949-5,104.0
1949-6,85.0
1949-7,90.0
1949-8,95.0
1949-9,120.0
1949-10,107.0
1949-11,101.0
1949-12,112.0
1950-1,116.0
1950-2,94.0
1950-3,106.0
1950-4,100.0
1950-5,101.0
1950-6,100.0
1950-7,99.0
1950-8,98.0
1950-9,96.0
1950-10,100.0
1950-11,90.0
1950-12,92.0
1951-1,96.0
1951-2,96.0
1951-3,88.0
1951-4,82.0
1951-5,109.0
1951-6,95.0
1951-7,92.0
1951-8,114.0
1951-9,99.0
1951-10,119.0
1951-11,98.0
1951-12,121.0
1952-1,112.0
1952-2,78.0
1952-3,77.0
1952-4,105.0
1952-5,96.0
1952-6,113.0
1952-7,97.0
1952-8,85.0
1952-9,104.0
1952-10,90.0
1952-11,110.0
1952-12,83.0
1953-1,99.0
1953-2,102.0
1953-3,104.0
1953-4,98.0
1953-5,119.0
1953-6,116.0
1953-7,122.0
1953-8,118.0
1953-9,103.0
1953-10,118.0
1953-11,98.0
1953-12,107.0
1954-1,101.0
1954-2,107.0
1954-3,93.0
1954-4,99.0
1954-5,93.0
1954-6,87.0
1954-7,73.0
1954-8,104.0
1954-9,110.0
1954-10,96.0
1954-11,120.0
1954-12,64.0
1955-1,58.0
1955-2,125.0
1955-3,87.0
1955-4,100.0
1955-5,103.0
1955-6,103.0
1955-7,97.0
1955-8,99.0
1955-9,119.0
1955-10,90.0
1955-11,92.0
1955-12,126.0
1956-1,87.0
1956-2,101.0
1956-3,84.0
1956-4,105.0
1956-5,79.0
1956-6,100.0
1956-7,110.0
1956-8,89.0
1956-9,102.0
1956-10,95.0
1956-11,81.0
1956-12,85.0
1957-1,86.0
1957-2,61.0
1957-3,86.0
1957-4,93.0
1957-5,91.0
1957-6,91.0
1957-7,99.0
1957-8,94.0
1957-9,88.0
1957-10,97.0
1957-11,114.0
1957-12,109.0
1958-1,91.0
1958-2,109.0
1958-3,108.0
1958-4,103.0
1958-5,88.0
1958-6,109.0
1958-7,116.0
1958-8,86.0
1958-9,98.0
1958-10,78.0
1958-11,94.0
1958-12,120.0
1959-1,91.0
1959-2,105.0
1959-3,117.0
1959-4,100.0
1959-5,93.0
1959-6,101.0
1959-7,115.0
1959-8,121.0
1959-9,104.0
1959-10,108.0
1959-11,91.0
1959-12,101.0
1960-1,105.0
1960-2,131.0
1960-3,116.0
1960-4,96.0
1960-5,93.0
1960-6,107.0
1960-7,105.0
1960-8,95.0
1960-9,109.0
1960-10,95.0
1960-11,98.0
1960-12,86.0
1961-1,100.0
1961-2,119.0
1961-3,107.0
1961-4,112.0
1961-5,101.0
1961-6,109.0
1961-7,118.0
1961-8,108.0
1961-9,101.0
1961-10,105.0
1961-11,115.0
1961-12,105.0
1962-1,91.0
1962-2,122.0
1962-3,103.0
1962-4,89.0
1962-5,102.0
1962-6,100.0
1962-7,108.0
1962-8,96.0
1962-9,102.0
1962-10,97.0
1962-11,91.0
1962-12,113.0
1963-1,86.0
1963-2,100.0
1963-3,109.0
1963-4,92.0
1963-5,93.0
1963-6,97.0
1963-7,99.0
1963-8,100.0
1963-9,106.0
1963-10,95.0
1963-11,112.0
1963-12,107.0
1964-1,107.0
1964-2,50.0
1964-3,104.0
1964-4,111.0
1964-5,95.0
1964-6,98.0
1964-7,118.0
1964-8,105.0
1964-9,110.0
1964-10,101.0
1964-11,101.0
1964-12,106.0
1965-1,114.0
1965-2,113.0
1965-3,97.0
1965-4,82.0
1965-5,107.0
1965-6,98.0
1965-7,101.0
1965-8,88.0
1965-9,98.0
1965-10,107.0
1965-11,111.0
1965-12,93.0
1966-1,111.0
1966-2,126.0
1966-3,109.0
1966-4,97.0
1966-5,98.0
1966-6,103.0
1966-7,109.0
1966-8,119.0
1966-9,90.0
1966-10,104.0
1966-11,103.0
1966-12,83.0
1967-1,90.0
1967-2,98.0
1967-3,101.0
1967-4,96.0
1967-5,108.0
1967-6,117.0
1967-7,104.0
1967-8,129.0
1967-9,100.0
1967-10,97.0
1967-11,87.0
1967-12,61.0
1968-1,96.0
1968-2,80.0
1968-3,112.0
1968-4,102.0
1968-5,100.0
1968-6,109.0
1968-7,92.0
1968-8,95.0
1968-9,102.0
1968-10,85.0
1968-11,117.0
1968-12,126.0
1969-1,85.0
1969-2,54.0
1969-3,87.0
1969-4,100.0
1969-5,108.0
1969-6,95.0
1969-7,90.0
1969-8,103.0
1969-9,107.0
1969-10,103.0
1969-11,82.0
1969-12,94.0
1970-1,89.0
1970-2,117.0
1970-3,75.0
1970-4,92.0
1970-5,100.0
1970-6,87.0
1970-7,94.0
1970-8,104.0
1970-9,97.0
1970-10,104.0
1970-11,96.0
1970-12,106.0
1971-1,100.0
1971-2,93.0
1971-3,92.0
1971-4,99.0
1971-5,102.0
1971-6,100.0
1971-7,120.0
1971-8,100.0
1971-9,98.0
1971-10,86.0
1971-11,103.0
1971-12,96.0
1972-1,101.0
1972-2,70.0
1972-3,100.0
1972-4,95.0
1972-5,93.0
1972-6,102.0
1972-7,90.0
1972-8,91.0
1972-9,91.0
1972-10,97.0
1972-11,101.0
1972-12,106.0
1973-1,105.0
1973-2,115.0
1973-3,110.0
1973-4,112.0
1973-5,88.0
1973-6,95.0
1973-7,100.0
1973-8,110.0
1973-9,91.0
1973-10,91.0
1973-11,100.0
1973-12,94.0
1974-1,96.0
1974-2,92.0
1974-3,98.0
1974-4,113.0
1974-5,103.0
1974-6,94.0
1974-7,92.0
1974-8,91.0
1974-9,101.0
1974-10,92.0
1974-11,107.0
1974-12,87.0
1975-1,113.0
1975-2,111.0
1975-3,106.0
1975-4,98.0
1975-5,93.0
1975-6,99.0
1975-7,98.0
1975-8,102.0
1975-9,122.0
1975-10,102.0
1975-11,99.0
1975-12,86.0
1976-1,104.0
1976-2,117.0
1976-3,94.0
1976-4,90.0
1976-5,100.0
1976-6,94.0
1976-7,87.0
1976-8,103.0
1976-9,95.0
1976-10,105.0
1976-11,69.0
1976-12,100.0
1977-1,68.0
1977-2,99.0
1977-3,119.0
1977-4,111.0
1977-5,84.0
1977-6,99.0
1977-7,106.0
1977-8,89.0
1977-9,101.0
1977-10,116.0
1977-11,97.0
1977-12,122.0
1978-1,107.0
1978-2,100.0
1978-3,95.0
1978-4,114.0
