Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,-0.99,2.22,0.35,-1.19,0.2,0,0.8,-0.4,0.21,-0.37,-0.93,1.39
1963,-1.41,0.06,0.98,-0.86,-0.72,-0.33,-0.17,-0.08,0.63,-0.56,1.23,0.73
1964,0.79,-5,0.4,1.17,-0.55,-0.26,1.85,0.5,1.08,0.18,0.12,0.64
1965,1.48,1.37,-0.38,-1.81,0.74,-0.23,0.11,-1.24,-0.2,0.71,1.13,-0.74
1966,1.14,2.61,0.94,-0.32,-0.29,0.35,0.94,1.9,-1.01,0.4,0.32,-1.76
1967,-1.07,-0.2,0.19,-0.43,0.87,1.78,0.45,2.93,-0.07,-0.39,-1.39,-3.97
1968,-0.4,-2.08,1.27,0.28,-0.06,0.9,-0.88,-0.5,0.22,-1.57,1.7,2.65
1969,-1.59,-4.69,-1.34,-0.09,0.8,-0.59,-1.08,0.39,0.75,0.3,-1.84,-0.67
1970,-1.17,1.7,-2.59,-0.81,-0.06,-1.3,-0.68,0.44,-0.3,0.45,-0.47,0.61
1971,-0.01,-0.78,-0.82,-0.12,0.28,-0.05,2.06,0.04,-0.25,-1.41,0.34,-0.46
1972,0.12,-3.06,-0.06,-0.52,-0.78,0.21,-1.06,-0.99,-0.97,-0.32,0.19,0.62
1973,0.57,1.55,1.06,1.2,-1.27,-0.56,0,1.05,-0.95,-0.92,0,-0.6
1974,-0.44,-0.86,-0.26,1.34,0.34,-0.62,-0.81,-0.94,0.16,-0.81,0.78,-1.38
1975,1.38,1.17,0.63,-0.22,-0.74,-0.13,-0.26,0.27,2.21,0.25,-0.18,-1.41
1976,0.45,1.74,-0.61,-1.01,0.08,-0.67,-1.34,0.36,-0.51,0.53,-3.12,0.04
1977,-3.23,-0.16,1.91,1.11,-1.68,-0.17,0.6,-1.16,0.11,1.68,-0.38,2.26
1978,0.78,0.06,-0.59,1.45,0.8,1.32,1.48,1.59,0.92,-0.01,-0.31,1.05
1979,1.2,2.56,0.38,-0.73,-1.17,1.18,-0.37,0.19,-1.18,0.97,-0.87,1.38
1980,0.16,-0.61,-1.66,-1.01,-0.26,0.11,-1.47,-2.46,-0.85,0.08,1.85,-0.48
1981,-1.33,0.41,1.87,0.35,0.53,0.14,0.9,-0.07,-0.61,-2.25,-1.91,-0.43
1982,0.51,0.18,0.08,-0.5,1.91,-0.34,-1.45,-0.9,-0.95,1.41,0.72,-0.1
1983,0.39,0.39,-0.4,0.74,0.99,-0.94,-0.84,0.08,1.5,-0.01,0.09,0.05
1984,-1.81,-1.97,0.05,-0.72,-0.88,0.12,-0.28,0.19,-0.73,-0.11,1.44,-1.79
1985,-0.19,0.1,-2.24,0.77,0.28,-0.58,-0.05,0.48,-0.02,-0.18,-0.49,-1.89
1986,0.66,-0.32,0.51,0.23,0.97,0.31,-1.09,-0.66,-0.07,-1.18,-0.87,0.1
1987,1.71,1.64,-0.95,-0.39,0.15,-1.5,-0.98,0.05,0.36,1.3,0.01,0.7
1988,0.85,-0.6,-1.81,0.75,0.18,0.31,1.8,-1.05,-0.44,0.17,0.25,1.03
1989,1.08,0.22,0.44,0.35,-0.71,-0.65,-1.31,-1.18,-0.02,0.54,-0.92,1.42
1990,-0.09,0.14,1.92,-0.4,0,1.09,1.28,0.54,0.62,0.58,1.9,0.52
1991,0.98,1.52,-1.18,-0.82,-1.07,-0.25,0.29,-0.94,0.29,-0.06,0.29,0.04
1992,0.68,2.36,-1.32,1.55,0.53,-0.71,0.48,-0.7,-0.16,-1.52,-0.38,1.31
1993,-1.41,2.68,0.44,0.56,-0.86,0.62,-1.18,-1.9,0.78,0.14,-0.6,-0.04
1994,1.67,0.61,0.1,1.57,2.53,0.52,2.37,1.27,0.71,0.02,2.18,1.84
1995,1,1.62,1.51,-0.4,0.6,-0.12,0.57,0.78,1.12,0.9,0.01,0.06
1996,0.65,0.16,-0.6,-0.58,0.16,0.43,-0.57,0.17,1.14,0.68,-0.78,1.5
1997,0.35,1.75,2.02,0.59,2.1,1.06,0.04,0.41,-0.73,1.71,0.11,1.06
1998,-0.18,2.84,0.73,2.72,-0.18,-0.19,1.46,0.48,1.69,2.05,3.14,1.94
1999,2.68,3.51,0.45,1.12,0.93,-0.34,-0.98,-0.99,2.35,0.37,0.33,1.36
2000,-0.58,0.31,2.62,2.08,2.09,0.73,1.2,0.28,0.95,0.43,-0.96,2.45
2001,1.08,1.7,2.52,0.45,2.3,0.45,1.8,-0.8,1.14,1.23,0.62,-0.34
2002,3.41,4.51,3.78,1.45,-0.84,1.66,0.6,-0.45,0.98,0.8,0.31,0.08
2003,0.59,2.11,0.85,0.47,0.12,0.67,0,-0.17,1.61,0.05,0.3,0.24
2004,0.82,4.88,1.97,2.58,0.78,0.19,1.17,-0.21,0.82,0.55,2.15,1.75
2005,-0.4,-1.03,0.45,3.45,0.93,2.81,0.66,-0.92,1.71,0.51,2.94,-0.69
2006,1.27,0.85,2.9,2.04,1.05,1.86,0.77,1.39,-0.12,3.64,2.46,0.89
2007,1.3,5.35,2.7,1.35,3.22,0.59,0.1,1.14,1.22,1.37,0.84,2.06
2008,-0.98,-0.49,3.27,1.35,2.11,-0.63,0.67,-0.25,1.51,1.89,0.9,1.43
2009,0.54,4.04,1.75,1.64,1.18,2.14,0.32,-0.16,1.05,3.01,-2.3,-0.05
2010,1.42,2.38,0.3,-1.74,0.77,0.28,0.81,1.49,1.7,0.34,1.8,2.15
2011,-2.31,1.67,0.84,1.91,1.15,0.66,0.52,-0.32,0.08,0.57,3.28,-0.33
2012,0.38,-0.34,0.45,2.85,1.86,1.35,1.85,0.2,0.08,1.41,-0.58,-1.15
2013,0.65,1.75,2.89,0.85,1.28,0.52,2.34,2.87,0.99,1.19,1.02,0.17
2014,3.49,0.71,3.55,1.4,1.9,0.37,-0.11,-1.55,0.66,1.77,1.32,0.2
2015,2.84,2.58,2.17,0.65,1.13,0.13,-0.98,-0.18,0.9,1.48,0.22,1.54
2016,0.55,2.77,2.77,2.76,0.26,0.13,0.91,1.56,1.95,0.95,0.62,2.71
2017,2.5,2.45,1.35,2.65,2.55,0.25,2.5,0.45,0.65,-0.45,1.05,0.75
2018,-0.3,0.85,3.4,2.6,1.5,1.7,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
